SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1430.00,1430.00,1385.05,1388.70,1392.20,1413.90,1150,7674,10744826.00,
500003,AEGIS LOGIS ,A ,Q,303.50,303.50,291.70,294.85,293.75,301.00,759,16062,4743660.00,
500008,AMAR RAJA BA,A ,Q,865.00,875.85,865.00,873.85,875.00,870.10,1676,35091,30614419.00,
500009,A.SARABHAI  ,X ,Q,17.60,18.50,17.60,18.20,18.00,17.95,110,31895,577442.00,
500010,HDFC        ,A ,Q,2539.00,2546.95,2485.50,2534.50,2534.50,2532.15,6928,85195,214410471.00,
500012,ANDHRA PETRO,X ,Q,60.75,60.80,57.90,59.10,59.10,60.30,522,107714,6340334.00,
500013,ANSAL INFRAS,B ,Q,6.85,6.91,6.61,6.66,6.66,6.85,47,14169,94865.00,
500014,UTIQUE      ,X ,Q,2.19,2.19,2.09,2.09,2.09,2.19,13,8133,17217.00,
500016,ARUNAHTEL   ,XT,Q,5.25,5.27,5.25,5.25,5.25,5.23,3,200,1051.00,
500020,BOM DYEING  ,A ,Q,74.80,76.00,73.80,74.95,74.95,74.80,2401,474372,35504169.00,
500023,ASIANHOTNR  ,B ,Q,66.70,67.35,66.05,66.90,67.35,66.00,6,61,4078.00,
500027,ATUL LTD.   ,A ,Q,6720.00,7030.40,6679.00,6903.55,6903.55,6713.15,694,1939,13400113.00,
500028,ATV PROJECTS,XT,Q,4.60,4.60,4.28,4.33,4.33,4.48,36,9525,42591.00,
500031,BAJAJ ELECT.,A ,Q,944.00,949.90,919.05,933.15,932.00,922.60,866,7550,7040302.00,
500032,BAJAJHIND   ,A ,Q,6.41,6.75,6.40,6.56,6.56,6.41,2939,722474,4753193.00,
500033,FORCE MOTR  ,A ,Q,1233.65,1239.10,1190.85,1230.40,1230.40,1231.20,620,7849,9613318.00,
500034,BAJFINANCE  ,A ,Q,5458.90,5497.05,5336.75,5389.15,5389.15,5451.90,9112,93172,503206306.00,
500038,BALRAM.CHINI,A ,Q,202.50,207.20,198.15,204.10,203.90,202.30,1607,142128,28776797.00,
500039,BANCO PROD. ,B ,Q,148.35,148.50,145.15,146.80,147.05,143.30,526,18512,2717652.00,
500040,CENTURY TEXT,A ,Q,475.25,486.85,469.95,482.20,486.35,469.70,939,50074,24116001.00,
500041,BANNARI AMAN,A ,Q,1740.85,1740.85,1703.00,1706.75,1703.00,1729.30,17,22,37935.00,
500042,BASF INDIA  ,A ,Q,2061.15,2115.00,2052.85,2084.35,2084.35,2078.55,478,2904,6047802.00,
500043,BATA INDIA  ,A ,Q,1501.00,1501.00,1469.25,1474.65,1482.50,1489.40,932,15773,23304197.00,
500048,BEML LTD    ,A ,Q,1394.00,1418.35,1362.60,1384.40,1384.40,1343.05,6472,95664,133453992.00,
500049,BHARAT ELECT,A ,Q,129.40,132.00,127.45,127.95,127.95,127.95,7363,864883,112047860.00,
500052,BHANSALI ENG,A ,Q,152.60,154.75,150.00,153.00,153.10,149.55,626,50635,7729348.00,
500055,TATASTLBSL  ,B ,Q,46.50,47.95,46.50,47.80,47.80,46.95,1608,583869,27748734.00,
500058,BIHAR SPONGE,XT,Q,1.92,1.92,1.92,1.92,1.92,1.89,5,3562,6839.00,
500060,BIRLACABLE  ,B ,Q,65.00,66.55,64.00,64.75,64.80,63.85,233,18612,1214535.00,
500067,BLUE STAR   ,A ,Q,909.00,918.70,881.55,893.70,894.30,903.70,1154,11353,10243125.00,
500068,DISA INDIA  ,X ,Q,4650.00,4700.00,4570.00,4679.25,4700.00,4602.15,25,160,739051.00,
500069,BNK CAPITAL ,X ,Q,125.75,139.50,123.00,124.85,123.00,132.95,39,5177,674061.00,
500074,BPL LTD.    ,B ,Q,24.30,25.60,24.30,24.95,24.95,24.55,150,17264,430032.00,
500078,OAL         ,B ,Q,563.50,570.45,559.55,567.60,570.45,553.75,140,763,430845.00,
500083,CENTURY EXT ,B ,Q,4.10,4.20,4.06,4.10,4.10,4.16,52,32893,135342.00,
500084,CESC LTD.   ,A ,Q,614.95,614.95,595.90,597.80,597.80,609.25,1677,67793,40740823.00,
500085,CHAMBAL FERT,A ,Q,216.20,222.25,216.20,220.85,220.85,216.55,1192,51862,11393208.00,
500086,EXIDE IND.  ,A ,Q,187.90,190.60,187.00,189.25,189.25,187.15,1817,162376,30805403.00,
500087,CIPLA LTD.  ,A ,Q,763.00,781.80,760.00,772.80,772.80,760.50,2535,113754,88114051.00,
500089,DIC INDIA   ,B ,Q,399.00,404.40,393.45,404.00,404.00,396.60,70,660,264230.00,
500092,CRISIL LTD  ,A ,Q,1920.00,1966.00,1916.75,1957.35,1957.35,1944.30,465,1797,3496349.00,
500093,CGPOWER     ,B ,Q,60.70,61.70,59.50,61.70,61.70,58.80,883,290878,17743130.00,
500096,DABUR (I)   ,A ,Q,526.80,534.50,524.00,533.35,533.35,524.55,1022,44939,23817303.00,
500097,DALMIASUG   ,A ,Q,160.05,163.40,159.05,161.05,160.50,162.15,4117,121510,19477850.00,
500101,ARVIND Ltd  ,A ,Q,69.50,73.80,68.45,72.20,72.20,69.65,2250,153391,11013184.00,
500102,BALARPUR IND,Z ,Q,1.25,1.25,1.17,1.19,1.19,1.22,296,1152903,1378765.00,
500103,BHEL        ,A ,Q,52.00,52.80,51.40,52.20,52.20,52.00,11167,4833440,252021011.00,
500104,HIND.PETRO  ,A ,Q,235.50,237.30,234.30,236.45,236.45,234.80,1906,142952,33715519.00,
500106,IFCI LTD    ,A ,Q,12.48,12.93,12.15,12.93,12.93,12.32,4774,479191,6146641.00,
500108,MAHA.TELE   ,B ,Q,18.60,19.33,18.34,19.33,19.33,18.41,1852,933985,17953529.00,
500109,MRPL        ,A ,Q,40.95,40.95,40.00,40.25,40.25,41.10,880,238865,9649134.00,
500110,CHENNAI PET.,A ,Q,105.25,107.00,103.45,105.80,104.10,105.30,666,74792,7866260.00,
500111,REL.CAP.    ,B ,Q,10.52,11.56,10.52,11.56,11.56,11.01,2631,1611442,18585381.00,
500112,STATE BANK  ,A ,Q,372.70,372.70,363.50,367.05,367.05,371.10,14147,1197955,440619995.00,
500113,STEEL AUTH. ,A ,Q,73.30,74.05,72.20,73.35,73.35,73.40,2753,1236339,90547151.00,
500114,TITAN       ,A ,Q,1451.00,1467.25,1448.00,1459.80,1461.25,1467.70,3054,42187,61405781.00,
500116,IDBI BANK L ,A ,Q,37.55,38.30,36.40,37.40,37.40,37.35,5656,2058338,77268569.00,
500117,DCW LTD.    ,B ,Q,27.50,28.15,27.00,27.95,27.95,26.60,730,277281,7719029.00,
500119,DHAMPUR SUGA,A ,Q,179.00,185.50,176.60,184.00,184.00,179.70,850,60466,10813172.00,
500120,DIAMINES&CHM,X ,Q,267.40,267.80,255.00,264.05,264.05,260.10,630,135781,34794195.00,
500123,ELANTAS     ,A ,Q,3320.00,3444.00,3313.05,3369.90,3370.00,3320.30,87,345,1161969.00,
500124,DR.REDDY'S  ,A ,Q,4288.00,4366.45,4271.90,4353.90,4348.10,4274.55,4880,49256,213595440.00,
500125,E.I.D.PAR   ,A ,Q,339.00,342.30,324.00,332.80,335.00,338.85,686,21695,7223316.00,
500126,PGHL        ,A ,Q,6500.00,6500.00,6342.35,6351.75,6351.80,6437.50,171,286,1823017.00,
500128,ELEC.CASTING,B ,Q,24.40,24.75,23.90,24.15,24.00,24.05,214,43923,1070320.00,
500133,ESAB INDIA  ,A ,Q,1928.40,1928.40,1845.00,1851.20,1846.00,1864.70,207,6066,11312406.00,
500135,EPL         ,A ,Q,210.45,214.60,210.30,213.50,213.30,210.45,544,15631,3329244.00,
500136,ESTER INDUS.,B ,Q,115.00,120.00,113.65,117.70,117.55,113.60,699,96561,11359873.00,
500144,FINOL. CABLE,A ,Q,371.00,375.00,366.00,367.60,367.60,370.35,691,13588,5033710.00,
500147,COCKERILL   ,X ,Q,845.00,849.00,793.10,842.50,825.25,837.70,39,598,500809.00,
