SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1449.35,1466.65,1426.00,1441.80,1440.45,1447.50,881,7444,10705451.00,
500003,AEGIS LOGIS ,A ,Q,293.50,294.80,285.50,287.10,288.80,288.60,472,10881,3157192.00,
500008,AMAR RAJA BA,A ,Q,903.00,903.00,889.25,891.40,894.00,893.20,666,16996,15225140.00,
500009,A.SARABHAI  ,X ,Q,18.95,19.35,18.35,19.05,19.00,18.55,216,73377,1386273.00,
500010,HDFC        ,A ,Q,2560.70,2560.70,2503.45,2510.75,2510.75,2535.15,3270,37909,95873289.00,
500012,ANDHRA PETRO,X ,Q,66.00,67.25,63.35,65.70,65.70,64.50,441,134723,8837471.00,
500013,ANSAL INFRAS,B ,Q,7.61,7.61,7.22,7.22,7.22,7.60,120,46980,340986.00,
500014,UTIQUE      ,X ,Q,2.03,2.12,2.03,2.12,2.12,2.12,22,5252,11129.00,
500016,ARUNAHTEL   ,XT,Q,5.57,5.57,5.24,5.57,5.57,5.31,11,3338,18432.00,
500020,BOM DYEING  ,A ,Q,79.95,80.95,78.50,79.05,79.05,79.10,1297,350564,27906777.00,
500023,ASIANHOTNR  ,B ,Q,71.00,72.40,69.50,70.10,69.50,72.15,62,4012,287892.00,
500027,ATUL LTD.   ,A ,Q,6819.00,6819.00,6690.00,6750.20,6803.00,6781.90,268,1004,6768003.00,
500028,ATV PROJECTS,XT,Q,4.95,5.15,4.71,4.78,4.94,4.95,38,11615,56280.00,
500031,BAJAJ ELECT.,A ,Q,1020.00,1020.00,980.00,990.30,1003.80,1000.85,834,8649,8550108.00,
500032,BAJAJHIND   ,A ,Q,7.16,7.26,6.86,6.90,6.90,7.16,1668,973201,6818710.00,
500033,FORCE MOTR  ,A ,Q,1289.05,1300.00,1280.00,1284.05,1285.80,1284.55,252,1454,1879157.00,
500034,BAJFINANCE  ,A ,Q,5499.00,5508.30,5419.00,5467.00,5467.00,5438.70,5590,60030,328210062.00,
500038,BALRAM.CHINI,A ,Q,211.00,214.00,201.50,203.30,203.30,210.90,2456,91355,18910696.00,
500039,BANCO PROD. ,B ,Q,164.50,164.50,156.60,158.20,157.80,160.40,1574,36868,5848488.00,
500040,CENTURY TEXT,A ,Q,498.05,509.45,494.20,499.25,500.35,493.95,2026,89360,44908173.00,
500041,BANNARI AMAN,A ,Q,1782.00,1798.00,1728.25,1737.35,1728.25,1753.75,30,42,74046.00,
500042,BASF INDIA  ,A ,Q,2242.00,2258.05,2193.00,2215.65,2202.90,2227.60,512,2911,6488597.00,
500043,BATA INDIA  ,A ,Q,1493.00,1528.75,1483.60,1487.40,1487.40,1495.55,2137,31218,46921292.00,
500048,BEML LTD    ,A ,Q,1360.00,1423.00,1352.00,1373.65,1373.65,1351.85,3764,72717,101239926.00,
500049,BHARAT ELECT,A ,Q,137.50,138.60,135.50,137.75,137.75,137.15,4997,506805,69518006.00,
500052,BHANSALI ENG,A ,Q,163.15,166.15,158.80,162.40,162.40,160.55,2373,163319,26554094.00,
500055,TATASTLBSL  ,B ,Q,47.40,47.75,46.25,46.60,46.60,47.35,721,297643,13894736.00,
500058,BIHAR SPONGE,XT,Q,1.77,1.80,1.77,1.80,1.80,1.77,15,52766,94966.00,
500060,BIRLACABLE  ,B ,Q,68.90,73.95,67.90,71.85,71.85,66.95,1914,179694,12906460.00,
500067,BLUE STAR   ,A ,Q,925.20,934.75,892.40,896.30,895.40,926.35,957,8840,8044396.00,
500068,DISA INDIA  ,X ,Q,4771.15,4820.95,4770.00,4777.05,4775.05,4831.75,17,133,635689.00,
500069,BNK CAPITAL ,X ,Q,137.95,156.00,137.95,142.65,143.00,137.95,45,3095,440267.00,
500074,BPL LTD.    ,B ,Q,26.30,27.15,25.95,26.00,26.00,27.00,202,23293,613988.00,
500078,OAL         ,B ,Q,586.10,603.90,584.00,586.55,597.10,601.95,376,2709,1599731.00,
500083,CENTURY EXT ,B ,Q,4.60,4.60,4.50,4.56,4.56,4.45,39,16744,76470.00,
500084,CESC LTD.   ,A ,Q,623.85,623.85,616.10,617.75,617.40,620.55,397,30136,18626150.00,
500085,CHAMBAL FERT,A ,Q,237.00,239.50,233.00,235.10,235.15,239.50,1080,57374,13575901.00,
500086,EXIDE IND.  ,A ,Q,200.35,202.15,197.10,197.55,197.55,199.75,1847,152980,30461496.00,
500087,CIPLA LTD.  ,A ,Q,801.00,808.35,787.15,792.60,792.60,805.30,2092,72366,57610170.00,
500089,DIC INDIA   ,B ,Q,405.25,405.35,396.40,402.25,402.25,404.00,74,228,91869.00,
500092,CRISIL LTD  ,A ,Q,1877.00,1933.15,1877.00,1919.90,1916.00,1904.90,392,1379,2651941.00,
500093,CGPOWER     ,B ,Q,60.55,63.30,60.55,62.85,62.85,60.30,1556,331727,20559342.00,
500096,DABUR (I)   ,A ,Q,525.75,530.70,525.00,529.15,529.15,526.10,2677,163169,86328697.00,
500097,DALMIASUG   ,A ,Q,171.40,171.40,165.70,166.10,166.10,168.90,2035,51857,8777548.00,
500101,ARVIND Ltd  ,A ,Q,73.00,76.55,73.00,74.60,74.15,73.90,837,74914,5651365.00,
500102,BALARPUR IND,Z ,Q,1.30,1.32,1.26,1.30,1.29,1.29,360,1989254,2589422.00,
500103,BHEL        ,A ,Q,55.90,56.15,53.50,53.90,53.90,55.25,18324,6472756,355405078.00,
500104,HIND.PETRO  ,A ,Q,243.50,245.65,240.65,241.75,242.00,241.95,6748,971070,236200019.00,
500106,IFCI LTD    ,A ,Q,14.71,14.71,14.24,14.24,14.24,14.98,10003,2657374,38115089.00,
500108,MAHA.TELE   ,B ,Q,22.90,24.13,22.20,22.58,22.58,22.95,7278,1043185,24021141.00,
500109,MRPL        ,A ,Q,40.15,41.65,36.00,40.35,40.35,40.15,1399,383384,15531535.00,
500110,CHENNAI PET.,A ,Q,111.00,111.00,107.35,109.95,110.50,107.50,450,36238,3958706.00,
500111,REL.CAP.    ,B ,Q,12.60,12.85,12.27,12.27,12.27,12.91,1368,617696,7642379.00,
500112,STATE BANK  ,A ,Q,385.80,387.50,376.15,378.45,378.45,383.70,16945,1798655,684315084.00,
500113,STEEL AUTH. ,A ,Q,77.55,78.15,74.70,75.05,75.05,76.65,4328,2217346,168170461.00,
500114,TITAN       ,A ,Q,1509.00,1531.50,1495.65,1500.35,1503.15,1491.65,6982,282607,428510879.00,
500116,IDBI BANK L ,A ,Q,40.45,40.85,38.25,38.65,38.65,40.35,9720,3592628,141210092.00,
500117,DCW LTD.    ,B ,Q,29.90,29.95,28.70,29.00,29.00,29.45,783,308072,8984805.00,
500119,DHAMPUR SUGA,A ,Q,191.85,192.40,186.15,186.70,186.45,191.35,296,14059,2655651.00,
500120,DIAMINES&CHM,X ,Q,271.00,275.00,268.05,270.10,270.10,276.35,500,16453,4455819.00,
500123,ELANTAS     ,A ,Q,3629.00,3681.00,3524.00,3556.40,3540.00,3597.00,231,1048,3739877.00,
500124,DR.REDDY'S  ,A ,Q,4370.00,4464.85,4366.40,4448.85,4448.85,4342.70,5422,48312,213727642.00,
500125,E.I.D.PAR   ,A ,Q,341.05,348.80,341.05,345.50,345.95,344.25,196,7174,2481969.00,
500126,PGHL        ,A ,Q,6519.00,6551.25,6461.00,6485.05,6485.05,6539.90,465,1002,6514277.00,
500128,ELEC.CASTING,B ,Q,25.80,26.30,24.95,25.25,25.30,25.60,310,100243,2543342.00,
500133,ESAB INDIA  ,A ,Q,1879.00,1900.00,1864.15,1871.20,1870.00,1870.40,170,534,1004047.00,
500135,EPL         ,A ,Q,229.55,233.95,226.60,230.95,230.95,228.15,1625,45409,10459399.00,
500136,ESTER INDUS.,B ,Q,126.95,129.50,116.15,121.65,121.65,125.15,2850,244738,30819587.00,
500144,FINOL. CABLE,A ,Q,401.00,403.45,388.25,394.60,394.60,396.15,451,9726,3867893.00,
500147,COCKERILL   ,X ,Q,838.20,845.95,814.40,829.60,821.55,813.00,37,3222,2692026.00,
500148,UFLEX LTD   ,A ,Q,448.00,448.00,430.20,437.85,435.00,438.65,1165,34083,14946975.00,
500150,FOSECO INDIA,B ,Q,1210.00,1239.80,1209.00,1212.70,1212.70,1225.00,9,127,154962.00,
500151,GOLDEN TOB  ,B ,Q,45.00,48.05,43.60,45.95,44.35,44.70,108,4215,189106.00,
500153,GANESH BENZO,X ,Q,68.10,71.00,68.10,68.95,68.95,69.00,196,30030,2092010.00,
500159,METROGLOBL  ,X ,Q,55.80,62.40,55.80,57.00,57.00,58.50,29,1773,101981.00,
500160,GTL LTD.    ,B ,Q,6.75,6.75,6.44,6.52,6.55,6.59,1610,28950,188767.00,
500163,GODFREY PH  ,A ,Q,900.00,903.00,894.00,895.30,896.00,893.70,243,2884,2587992.00,
500164,GODREJ IND  ,A ,Q,508.00,521.00,502.90,506.30,506.30,503.00,1255,36494,18696666.00,
500165,KANSAI NERO ,A ,Q,554.30,570.00,544.65,551.15,551.00,562.30,1096,16727,9247071.00,
500166,GOODRICKE   ,X ,Q,232.40,232.50,225.00,230.15,230.15,226.70,135,6590,1513294.00,
500168,GOODYEAR (I),A ,Q,954.00,955.75,936.00,939.15,939.15,948.75,459,2971,2807554.00,
500170,GTN INDUS   ,B ,Q,11.36,12.49,11.36,12.35,12.35,11.90,36,7088,85084.00,
